link,count
https://vk.com/public60919436,10
https://vk.com/public63701663,1
https://vk.com/public64122563,1
https://vk.com/public64759182,1
https://vk.com/public65820735,2
https://vk.com/public66748333,1
https://vk.com/public67199967,1
https://vk.com/public67471838,1
https://vk.com/public69073936,1
https://vk.com/public69181668,1
https://vk.com/public71788753,1
https://vk.com/public71855746,3
https://vk.com/public72188644,8
https://vk.com/public72432054,1
https://vk.com/public74859535,2
https://vk.com/public76081768,1
https://vk.com/public76475462,1
https://vk.com/public77136461,2
https://vk.com/public77203603,1
https://vk.com/public77301697,1
https://vk.com/public77495577,1
https://vk.com/public77911501,1
https://vk.com/public80154238,1
https://vk.com/public81384112,1
https://vk.com/public81539963,1
https://vk.com/public86622614,1
https://vk.com/public86698143,1
https://vk.com/public86991639,1
https://vk.com/public88590199,1
https://vk.com/public89080796,1
https://vk.com/public92643280,1
https://vk.com/public95143256,1
https://vk.com/public99738927,1
https://vk.com/public100027947,1
https://vk.com/public103301300,1
https://vk.com/public104157016,1
https://vk.com/public104515819,1
https://vk.com/public108057937,3
https://vk.com/public108459155,1
https://vk.com/public110014891,2
https://vk.com/public111587102,39
https://vk.com/public112120836,1
https://vk.com/public113622552,1
https://vk.com/public115686505,1
https://vk.com/public116863980,8
https://vk.com/public117520949,4
https://vk.com/public120044263,1
https://vk.com/public125723973,1
https://vk.com/public126560007,1
https://vk.com/public126590443,25
https://vk.com/public127380653,1
https://vk.com/public129587318,1
https://vk.com/public130546432,1
https://vk.com/public132041582,1
https://vk.com/public136246438,1
https://vk.com/public139923997,15
https://vk.com/public140178564,3
https://vk.com/public141203106,1
https://vk.com/public141822458,1
https://vk.com/public144334555,1
https://vk.com/public144843490,1
https://vk.com/public145244757,3
https://vk.com/public145315070,1
https://vk.com/public145702535,12
https://vk.com/public146583047,1
https://vk.com/public147725517,31
https://vk.com/public150572657,1
https://vk.com/public150827324,1
https://vk.com/public151478074,1
https://vk.com/public157305971,1
https://vk.com/public158244000,1
https://vk.com/public158908298,1
https://vk.com/public160997438,1
https://vk.com/public161178374,1
https://vk.com/public162154491,11
https://vk.com/public165542672,1
https://vk.com/public165667926,1
https://vk.com/public166267927,1
https://vk.com/public168722464,9
https://vk.com/public169989176,1
https://vk.com/public170099667,1
https://vk.com/public170335127,1
https://vk.com/public170978533,1
https://vk.com/public173599012,1
https://vk.com/public173732392,1
https://vk.com/public174573486,4
https://vk.com/public176968119,13
